"Daily Weather Observations for Hobart, Tasmania for January 2017"
"Prepared at 16:09 GMT on Monday  7 August 2017   IDCJDW7021.201701"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-01-1,14.6,18.4,1.4,3.8,,SSW,44,18:14,15.6,89,8,ESE,9,1005.2,17.3,90,7,SSW,9,1003.8
,2017-01-2,14.3,19.6,34.8,20.2,8.6,SW,48,00:31,18.4,61,5,NE,6,1013.1,17.0,67,5,ESE,26,1014.9
,2017-01-3,10.0,20.8,0.2,4.4,6.5,SSE,44,16:20,15.4,61,6,NW,20,1021.4,16.1,73,4,SE,26,1021.7
,2017-01-4,12.4,24.1,0,5.2,10.1,S,35,18:46,15.9,64,7,NNW,13,1024.0,21.0,60,4,ESE,22,1020.7
,2017-01-5,14.9,20.9,0,6.8,7.1,SSE,39,16:27,19.0,66,7,SE,13,1021.1,18.5,66,5,SE,22,1019.8
,2017-01-6,14.6,23.0,0,6.6,9.2,ESE,31,14:26,17.9,68,7,NNW,17,1021.3,21.5,64,1,ESE,19,1019.1
,2017-01-7,15.4,27.4,0,5.6,11.8,SE,35,13:10,22.4,63,0,NNW,17,1015.5,25.8,50,1,SE,17,1011.5
,2017-01-8,20.3,31.3,0.4,8.2,12.1,NW,65,19:49,23.9,47,5,N,9,999.2,28.7,25,1,NNW,30,998.8
,2017-01-9,13.7,24.5,0,10.6,9.1,NNW,46,23:06,18.8,51,1,NNW,24,1009.5,20.5,59,1,SE,28,1008.1
,2017-01-10,14.2,24.4,0,7.6,2.9,WNW,48,10:48,17.1,51,6,NNW,22,1007.5,23.1,39,7,WNW,19,1004.9
,2017-01-11,16.1,22.1,0,5.2,11.2,NW,76,04:30,16.8,29,7,S,20,1001.6,21.0,31,3,NW,28,1001.9
,2017-01-12,13.5,23.9,0,9.8,9.4,NNW,43,00:11,15.9,52,6,N,20,1007.3,23.3,39,1,NW,20,1006.4
,2017-01-13,14.9,26.7,0,7.2,6.6,NW,74,14:09,18.2,66,8,NW,17,994.0,25.6,45,5,NW,41,983.3
,2017-01-14,12.1,19.6,2.6,8.4,9.6,NW,87,06:49,16.6,52,7,NW,24,989.6,18.6,43,6,SW,22,995.6
,2017-01-15,11.7,20.7,0.2,8.2,10.0,NW,57,20:24,14.9,48,4,NW,19,1011.8,20.4,40,2,NW,30,1011.7
,2017-01-16,13.7,24.3,0,7.2,13.4,NNW,52,23:46,17.2,51,3,NNW,28,1010.7,22.2,42,1,ESE,19,1007.9
,2017-01-17,12.7,24.1,0,10.8,7.6,N,44,00:12,19.1,50,3,N,13,1005.1,19.7,51,7,SE,28,1002.4
,2017-01-18,13.5,19.6,0,7.0,11.4,WSW,96,03:55,15.5,43,2,WSW,20,1006.0,17.0,35,4,SW,15,1011.2
,2017-01-19,9.1,17.6,0,9.2,11.2,WSW,35,00:56,14.0,42,1,S,20,1018.0,16.2,43,3,SE,20,1014.2
,2017-01-20,11.6,15.8,8.8,7.4,1.3,SSW,44,21:27,12.0,92,8,SSW,24,999.3,12.2,91,8,ESE,2,998.6
,2017-01-21,10.4,22.5,9.8,1.2,8.0,NW,46,08:54,15.0,100,7,NW,26,1009.0,21.1,97,7,WSW,6,1010.5
,2017-01-22,11.7,23.9,0,6.2,11.9,NW,39,08:34,19.2,98,1,N,17,1013.6,21.5,98,1,ESE,26,1011.7
,2017-01-23,16.0,26.1,0,8.0,11.3,SE,33,13:54,18.8,72,2,NNW,13,1008.3,24.9,48,3,SE,26,1001.6
,2017-01-24,16.3,21.1,0.4,5.2,12.0,W,93,10:23,17.0,43,6,W,28,999.2,20.0,27,2,WSW,26,1007.2
,2017-01-25,12.8,24.9,0.2,7.8,11.5,NW,65,22:16,17.1,46,1,NW,30,1015.0,23.5,38,6,NW,30,1012.4
,2017-01-26,15.3,23.5,0,11.4,12.8,NW,69,11:34,18.8,48,2,NNW,26,1011.8,22.1,41,3,NW,26,1011.3
,2017-01-27,12.9,27.9,0,10.6,11.7,NNW,46,12:31,19.3,49,1,NNW,19,1013.6,27.2,31,1,NNW,17,1010.6
,2017-01-28,14.1,25.7,0,7.8,12.0,NW,63,03:59,18.1,58,5,N,17,1007.5,25.0,37,6,NW,31,1008.8
,2017-01-29,9.7,22.8,0,7.8,12.4,NNE,43,06:50,15.4,54,6,N,9,1018.6,20.9,49,1,SSE,22,1014.7
,2017-01-30,15.4,25.2,0,6.0,5.7,NW,57,11:36,17.5,56,8,NNW,13,1000.3,24.6,47,6,WNW,26,995.8
,2017-01-31,11.7,21.7,1.2,6.8,11.6,WSW,57,12:47,16.1,51,6,NW,30,1005.0,20.8,23,3,W,20,1007.3
