"Daily Weather Observations for Hobart, Tasmania for February 2017"
"Prepared at 13:07 GMT on Sunday  6 August 2017   IDCJDW7021.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,11.1,20.7,0,7.4,3.1,NNW,46,13:05,14.0,53,7,NW,24,1012.9,17.8,41,7,NW,13,1010.1
,2017-02-2,13.1,21.3,0,5.8,10.1,NW,63,12:48,16.0,53,6,NNW,22,1005.4,20.5,30,3,NW,30,1007.0
,2017-02-3,13.5,23.9,0.2,7.2,9.0,WNW,54,13:28,15.1,64,7,NNW,22,1007.2,23.1,42,7,NW,26,1007.1
,2017-02-4,15.1,27.8,0,9.8,11.9,NNW,46,07:03,18.4,47,5,NNW,26,1006.4,26.2,28,3,NNW,19,1004.3
,2017-02-5,15.3,26.5,0,8.0,1.2,NW,50,08:58,17.0,56,7,NNW,31,1003.5,23.0,47,7,NNW,9,1001.2
,2017-02-6,9.9,19.6,2.2,4.8,12.6,SSW,46,01:52,14.7,39,2,SW,15,1014.8,18.2,26,4,S,19,1016.1
,2017-02-7,12.1,19.2,0.2,6.8,8.0,SSE,31,17:48,13.7,49,7,SSE,7,1028.2,18.6,43,1,SE,20,1027.9
,2017-02-8,13.4,25.2,0,6.2,8.2,NNW,59,16:57,16.6,55,7,NNW,19,1027.4,22.7,50,7,NNE,22,1018.8
,2017-02-9,16.6,24.6,0,6.8,5.7,SW,61,08:02,20.5,73,7,SW,37,1003.9,20.2,56,7,SSW,19,1008.9
,2017-02-10,13.7,25.7,0,4.0,8.6,SE,43,14:57,16.3,60,7,NNE,9,1012.0,22.7,41,7,ESE,17,1008.0
,2017-02-11,14.3,23.0,0,7.4,1.3,WNW,65,13:20,17.4,35,6,WNW,11,1002.0,22.3,36,7,WNW,35,1000.2
,2017-02-12,11.9,18.6,0,6.8,8.6,W,76,22:18,14.3,41,4,NNW,11,997.5,16.9,32,6,W,31,994.3
,2017-02-13,9.8,17.2,3.0,5.8,11.7,W,80,23:55,12.9,52,5,SW,28,999.3,15.0,46,3,W,20,1004.7
,2017-02-14,9.8,22.6,1.2,5.8,9.6,SW,37,08:55,13.6,52,7,WSW,11,1016.5,20.5,39,2,NNW,13,1015.8
,2017-02-15,9.8,27.7,0,4.6,8.8,NW,69,17:25,15.3,58,7,NNW,28,1009.0,27.1,15,4,NNW,37,999.8
,2017-02-16,9.9,23.6,0,9.2,12.5,WNW,48,23:12,15.3,46,1,NNW,19,1009.3,22.5,29,2,NE,19,1006.5
,2017-02-17,11.5,24.5,0,7.6,6.1,WNW,50,15:18,14.5,52,7,N,9,1003.2,22.3,34,6,NW,26,1000.1
,2017-02-18,10.1,20.2,0,6.0,11.4,NW,44,15:41,13.0,50,1,NNW,20,1006.3,16.9,37,7,W,19,1005.1
,2017-02-19,10.1,17.3,0,5.6,5.8,NW,31,20:32,12.3,56,6,NNW,15,1003.3,15.6,44,6,SE,13,1003.8
,2017-02-20,8.7,18.1,0.6,4.4,3.1,SSW,50,13:30,10.2,82,7,NNW,15,1008.0,13.8,84,7,S,28,1008.3
,2017-02-21,9.9,21.0,3.0,1.4,12.0,ESE,35,16:11,14.4,60,3,NNE,9,1017.3,20.5,33,1,NE,13,1016.7
,2017-02-22,10.3,28.1,0,5.0,11.1,NNW,46,18:53,12.5,77,7,NNW,24,1016.3,25.9,29,7,NE,22,1011.5
,2017-02-23,12.5,27.7,0,7.4,11.8,NNW,46,09:49,21.4,43,2,NW,22,1008.6,27.0,32,3,NW,30,1011.0
,2017-02-24,13.4,21.2,0,9.0,6.9,SW,59,14:55,16.3,51,7,E,9,1020.6,19.8,41,6,SE,11,1020.1
,2017-02-25,8.5,18.0,0,4.4,11.7,WSW,37,23:25,13.0,54,1,NW,17,1027.5,17.2,44,1,SE,20,1026.1
,2017-02-26,9.7,24.1,0,4.0,11.5,SE,33,14:08,13.7,62,3,NNW,17,1026.1,21.3,45,4,ESE,20,1024.1
,2017-02-27,12.0,26.6,0,6.6,12.4,NNW,33,07:31,15.1,69,1,NNW,22,1026.3,25.5,29,1,ESE,11,1023.2
,2017-02-28,14.2,26.6,0,7.8,11.8,NNW,33,08:04,18.4,57,1,NNW,20,1023.1,26.2,32,2,SE,17,1021.1
