"Daily Weather Observations for Hobart, Tasmania for March 2017"
"Prepared at 13:09 GMT on Saturday  5 August 2017   IDCJDW7021.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,14.1,24.4,0,7.2,10.0,SE,26,15:06,18.0,73,5,NE,4,1023.9,23.6,55,4,SE,17,1021.6
,2017-03-2,17.1,23.6,0,5.2,8.9,SE,41,14:12,18.1,87,6,SE,7,1020.7,19.5,78,6,SE,24,1020.1
,2017-03-3,13.6,18.8,0,6.2,8.7,SSW,30,23:26,14.6,62,3,SSE,7,1026.8,17.8,52,1,SE,19,1026.0
,2017-03-4,9.6,23.1,0,5.0,12.0,SE,37,16:09,14.6,69,1,NNW,11,1022.2,22.2,34,1,SE,22,1018.1
,2017-03-5,13.0,20.8,0,5.4,5.9,SE,37,16:59,15.7,80,8,S,4,1018.7,20.3,57,3,ESE,15,1017.5
,2017-03-6,13.0,18.2,0,5.0,4.0,SE,39,14:50,15.3,61,5,SSW,17,1022.2,16.8,63,7,SE,28,1022.3
,2017-03-7,12.2,21.5,1.2,4.0,7.6,NW,28,09:06,14.0,70,7,NW,15,1026.6,19.4,48,1,ESE,17,1024.2
,2017-03-8,8.9,21.8,0,4.0,11.1,SE,28,15:35,12.8,70,1,NNW,17,1024.2,21.3,43,4,SE,17,1021.1
,2017-03-9,11.9,23.2,0,7.2,9.6,NW,35,08:43,15.6,63,1,NW,20,1019.3,21.9,43,7,SE,20,1017.1
,2017-03-10,13.1,23.7,0,4.8,9.1,SE,46,13:32,16.7,67,2,NNW,11,1017.5,20.0,66,1,SSE,24,1015.5
,2017-03-11,14.9,20.9,0.8,5.8,3.7,SSW,37,12:29,15.4,88,7,ESE,7,1014.2,18.3,71,3,SSW,26,1011.7
,2017-03-12,14.7,20.4,8.8,3.0,2.5,SE,19,15:23,15.8,94,8, ,Calm,1007.2,19.1,72,7,SE,9,1005.7
,2017-03-13,14.4,22.6,1.6,2.0,8.2,ESE,28,13:26,17.2,84,8,NW,13,1015.8,21.7,62,2,SE,19,1018.1
,2017-03-14,16.9,32.1,0,4.2,10.4,NNW,56,17:19,19.3,76,1,N,15,1022.9,26.4,52,1,SE,11,1019.1
,2017-03-15,19.1,31.7,0,8.8,8.2,N,52,13:06,20.7,52,7,NW,19,1018.0,30.5,27,7,N,30,1012.9
,2017-03-16,20.7,25.2,0,8.2,4.3,W,56,12:39,22.6,69,7,N,11,1002.5,23.5,33,3,WNW,33,1004.6
,2017-03-17,9.5,20.0,2.4,5.0,10.8,WSW,37,23:28,13.4,56,1,NNW,13,1025.9,18.0,43,1,SE,19,1028.1
,2017-03-18,9.8,26.6,0,6.0,10.3,N,37,22:25,13.5,69,1,NW,13,1030.9,25.5,27,1,NE,13,1026.4
,2017-03-19,13.5,31.7,0,6.0,11.3,NNW,56,08:14,18.2,48,0,NNW,31,1018.3,30.6,18,1,NNW,17,1014.1
,2017-03-20,13.4,18.9,0,7.0,2.6,S,48,10:06,17.1,76,5,NNW,9,1018.5,17.3,58,7,S,20,1020.1
,2017-03-21,13.6,16.5,0.6,2.0,0.0,SE,22,21:44,14.7,91,8,SW,7,1020.1,16.3,89,8,SE,13,1018.2
,2017-03-22,12.4,15.8,10.2,0.6,1.9,SSE,33,04:38,12.9,87,8,SSW,17,1022.3,15.3,61,7,SSE,15,1023.1
,2017-03-23,11.7,17.1,3.4,2.4,3.8,SSE,24,18:25,12.1,96,7,S,9,1027.2,16.1,70,7,SE,11,1025.2
,2017-03-24,8.9,20.2,0.2,2.0,7.5,NW,24,10:17,12.4,81,1,NNW,9,1025.4,17.8,57,7,ESE,17,1022.4
,2017-03-25,12.4,21.3,0,4.0,0.8,NNW,28,09:39,14.0,72,8,NNW,13,1015.0,19.7,56,7,NNE,13,1012.3
,2017-03-26,12.0,21.3,0,1.2,8.1,ESE,22,12:21,14.4,84,4,NW,7,1015.6,20.6,62,1,SE,15,1014.1
,2017-03-27,14.0,28.6,0,3.4,3.6,NNW,89,13:05,17.5,75,6,NNW,17,1001.9,21.3,62,7,WNW,39,995.3
,2017-03-28,12.8,23.5,3.0,5.0,11.0,NW,65,12:21,16.9,51,1,NW,20,1006.1,23.1,36,1,NW,30,1004.0
,2017-03-29,14.7,25.7,0,6.4,8.6,NNW,74,09:24,19.0,48,2,N,24,1000.9,25.4,30,3,NW,26,996.4
,2017-03-30,9.7,17.0,4.8,6.0,6.5,SSW,48,13:23,11.8,62,1,NNW,11,1011.1,15.9,36,7,SW,28,1013.6
,2017-03-31,5.7,18.6,0,2.4,7.6,NNW,43,13:00,8.6,75,1,N,9,1019.9,16.5,43,7,SE,9,1015.2
