"Daily Weather Observations for Hobart, Tasmania for April 2017"
"Prepared at 13:08 GMT on Friday  4 August 2017   IDCJDW7021.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,8.6,16.7,0.2,3.4,9.8,W,69,12:19,11.7,48,1,SW,13,1009.9,15.9,34,3,SW,20,1013.8
,2017-04-2,7.5,16.3,0.2,4.6,4.4,,,,12.7,54,2,NNW,11,1029.6,14.1,47,7,S,13,1030.5
,2017-04-3,5.8,17.7,0,3.8,10.9,NW,24,07:10,10.8,65,1,NNW,11,1036.1,16.5,41,1,SE,15,1033.7
,2017-04-4,6.9,19.8,0,2.4,9.8,NW,22,06:28,11.4,67,5,NNW,17,1033.7,17.3,45,6,SE,15,1030.0
,2017-04-5,9.7,22.7,0,2.6,9.6,NW,41,14:46,14.2,64,3,NNW,15,1026.0,21.4,30,3,NW,24,1020.9
,2017-04-6,10.7,25.5,0,5.8,9.8,NW,52,12:16,17.2,46,6,NNW,20,1018.9,24.6,33,4,NW,15,1018.4
,2017-04-7,10.7,25.0,0,3.0,8.8,NNW,65,16:14,15.2,63,7,N,11,1022.5,24.2,24,8,N,31,1016.7
,2017-04-8,14.6,25.0,0,5.8,5.5,NNW,59,12:37,17.9,56,7, ,Calm,1015.7,23.4,34,4,NNW,33,1010.4
,2017-04-9,15.2,16.3,0.2,5.8,0.6,SSW,43,19:30,15.9,79,7,NNW,19,1005.0,14.7,89,7,S,17,1004.7
,2017-04-10,11.0,17.2,8.2,1.4,4.9,S,44,00:53,12.1,61,7,S,13,1016.1,15.6,44,4,SSW,19,1016.2
,2017-04-11,8.4,13.2,0,3.8,0.7,SSE,31,11:10,11.8,94,7,SSE,11,1023.9,12.5,79,8,SSW,15,1025.2
,2017-04-12,10.4,17.4,2.8,1.0,9.7,NE,24,12:51,12.3,72,3,NNW,13,1028.8,15.7,48,2,ESE,13,1026.4
,2017-04-13,7.2,21.2,0.2,1.0,9.4,SSW,43,22:10,11.8,72,1,NW,20,1024.6,20.2,46,6,NNE,9,1019.3
,2017-04-14,8.9,16.5,0,3.2,8.7,SW,52,10:36,13.6,44,2,WSW,6,1021.3,14.3,42,5,SW,22,1020.0
,2017-04-15,6.6,17.7,0,3.8,10.2,N,35,12:04,11.5,63,1,NNW,17,1021.2,17.1,40,1,NNE,13,1017.4
,2017-04-16,10.5,19.5,0,3.6,2.2,NW,46,14:05,13.7,56,7,N,20,1014.0,17.6,53,7,NW,22,1014.4
,2017-04-17,8.1,20.1,0,2.4,8.9,NW,41,11:50,13.1,62,4,NNW,19,1021.7,19.7,32,2,NW,19,1019.8
,2017-04-18,8.9,23.7,0,3.8,6.7,NNW,41,03:34,12.3,65,7,NW,15,1024.7,21.5,40,6,E,13,1024.9
,2017-04-19,9.4,24.1,0,2.4,9.8,NNW,31,09:11,13.2,68,1,NNW,17,1029.7,23.4,35,1,N,9,1025.9
,2017-04-20,11.4,22.7,0,4.0,5.7,NNW,37,03:21,14.5,67,6,NNW,11,1026.0,21.8,48,7,NNW,9,1023.1
,2017-04-21,12.0,25.0,0,3.2,9.2,NNW,35,09:24,16.9,59,1,NNW,13,1024.4,22.3,46,2,SE,15,1021.0
,2017-04-22,14.6,18.7,0,0.4,0.5,NW,30,01:43,17.0,68,7,NNW,15,1021.6,16.3,90,8,ESE,15,1021.8
,2017-04-23,12.7,14.2,3.2,1.2,0.0,S,20,04:50,13.4,87,7,SSW,9,1026.5,14.1,73,7,SE,7,1025.0
,2017-04-24,12.1,18.6,4.6,0.4,1.0,NNW,24,22:59,13.2,93,7,NNW,9,1020.4,17.8,73,7,NNW,9,1014.3
,2017-04-25,12.7,16.6,0,2.0,1.5,NW,26,21:22,14.0,87,8,N,4,1005.6,15.4,75,6,SSE,6,1000.0
,2017-04-26,8.7,12.6,0,0.8,2.1,S,54,16:10,9.2,57,8,SSW,22,1006.8,9.5,58,6,SSW,19,1010.8
,2017-04-27,3.3,14.9,2.0,2.0,7.7,NW,56,20:36,7.3,70,1,NNW,17,1019.0,12.9,52,7,NW,19,1015.8
,2017-04-28,7.3,19.5,0,2.2,6.6,NW,57,16:44,14.8,61,7,NW,13,1014.4,19.0,34,1,NW,31,1010.7
,2017-04-29,13.2,18.1,0,4.0,7.4,SW,46,10:11,15.5,50,6,E,11,1015.4,17.1,49,1,SSW,24,1017.5
,2017-04-30,6.4,20.1,0,2.4,9.7,N,35,22:23,11.3,74,1,NNW,11,1018.8,18.9,43,0,NNE,15,1013.7
