"Daily Weather Observations for Hobart, Tasmania for May 2017"
"Prepared at 13:12 GMT on Thursday  3 August 2017   IDCJDW7021.201705"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,10.7,20.0,0,3.8,3.2,NW,65,12:25,15.4,65,7,NNW,6,1003.6,16.4,50,7,NNW,11,1004.1
,2017-05-2,6.8,11.4,0.2,2.0,7.9,SW,56,13:09,8.7,64,4,NW,22,1009.7,10.4,49,2,WSW,20,1014.3
,2017-05-3,5.3,13.7,0,2.4,5.0,NW,30,05:00,8.2,68,7,WSW,6,1026.3,13.0,53,7,SW,6,1026.5
,2017-05-4,5.4,17.8,0.2,2.0,9.4,NNW,30,08:53,9.9,70,1,NNW,22,1029.6,16.7,49,1,NE,15,1027.0
,2017-05-5,7.1,15.9,0,2.6,5.7,NNW,31,11:39,9.4,80,5,NW,22,1027.5,15.2,51,8,N,20,1022.9
,2017-05-6,8.4,18.5,0,4.0,4.3,NW,54,14:17,11.1,68,6,NW,9,1011.6,13.4,62,7,WNW,33,1007.0
,2017-05-7,8.0,12.3,2.8,0.6,0.7,SW,70,17:13,9.2,65,7,WSW,17,1018.2,9.9,69,7,SW,24,1019.7
,2017-05-8,9.0,15.8,0,0.8,2.3,SW,44,05:55,12.3,65,7,SW,17,1028.2,14.6,54,6,SSW,22,1027.8
,2017-05-9,8.4,14.4,0,1.4,3.3,WSW,24,01:56,9.3,77,7,NNW,13,1029.4,13.1,74,7,SE,15,1026.9
,2017-05-10,6.2,14.1,0.4,1.6,5.0,NNW,24,10:01,8.6,87,8,NW,13,1025.3,12.2,69,4,SE,11,1021.6
,2017-05-11,7.1,13.5,0,2.2,0.4,SSW,33,13:59,10.5,76,7,SSW,7,1022.9,11.4,74,5,SSW,17,1023.6
,2017-05-12,7.8,11.4,0.2,1.0,0.2,NNW,19,05:18,9.4,78,7, ,Calm,1027.7,10.2,77,8, ,Calm,1024.7
,2017-05-13,8.7,14.5,4.8,0.0,1.2,SSW,33,16:27,9.5,95,8,NNW,11,1022.5,13.5,71,7,SW,13,1021.9
,2017-05-14,5.3,13.9,0.6,0.8,5.6,NNW,22,09:42,7.4,84,3,NNW,13,1026.9,11.6,73,5,E,9,1025.2
,2017-05-15,7.4,12.4,2.8,0.6,0.5,WSW,20,21:35,9.7,93,7,NNW,9,1024.8,11.3,68,7,E,7,1022.9
,2017-05-16,7.5,14.8,0,2.8,2.3,WNW,24,12:44,8.2,75,7,NNW,13,1022.3,14.1,42,6,NW,9,1019.2
,2017-05-17,5.1,12.0,0,1.2,0.3,NW,31,04:13,7.1,77,7,NNW,13,1021.8,12.0,61,7,NW,13,1020.9
,2017-05-18,7.1,14.1,0,0.4,2.5,NNW,30,05:47,10.3,75,3,NW,17,1028.3,13.0,77,7,SE,17,1029.4
,2017-05-19,8.7,16.1,0,1.6,5.9,NE,24,14:02,10.7,83,7, ,Calm,1030.5,14.7,57,7,NE,15,1027.5
,2017-05-20,10.2,14.8,0,2.0,0.5,ENE,26,11:10,12.5,74,7,WSW,6,1024.1,13.6,82,8,ESE,9,1020.7
,2017-05-21,9.4,15.0,5.2,0.2,2.1,NW,28,12:27,10.7,94,7,N,7,1017.3,14.4,72,7,NNW,11,1015.3
,2017-05-22,9.5,20.7,0.2,2.4,8.5,NNW,43,09:12,12.8,75,1,NW,30,1018.3,20.3,44,1,NW,19,1016.2
,2017-05-23,12.2,17.6,0,0.2,2.6,N,31,01:18,14.2,68,7,N,6,1014.3,15.3,89,6,W,7,1010.6
,2017-05-24,7.7,16.3,3.4,1.0,5.8,NNW,43,11:24,9.6,88,6,N,2,1005.8,13.9,49,4,NNW,9,1007.7
,2017-05-25,9.5,16.3,0,1.8,0.9,NW,46,10:39,11.7,70,7,NW,35,1012.7,15.9,60,7,N,9,1008.4
,2017-05-26,8.5,14.8,0,1.2,8.0,NW,35,11:50,11.2,57,2,W,11,1017.6,13.8,46,4,NW,20,1016.6
,2017-05-27,4.4,16.5,0,0.8,0.3,NNW,48,17:07,6.4,76,7,NNW,13,1012.4,13.3,63,8,SW,6,1006.3
,2017-05-28,6.3,12.4,2.6,1.8,0.2,SSW,35,17:16,10.5,81,7,WNW,11,1000.5,12.3,69,7,SSE,2,1000.4
,2017-05-29,5.2,12.6,0,0.6,5.7,NW,41,14:18,9.4,65,3,NW,19,1010.9,11.7,50,7,NW,20,1011.6
,2017-05-30,7.9,9.0,2.4,1.6,0.8,SW,44,06:51,8.6,74,8,WSW,13,1012.0,8.4,62,7,SW,20,1017.8
,2017-05-31,4.1,12.4,2.6,0.0,2.9,SW,43,11:13,6.6,73,3,NNW,15,1029.0,11.5,55,7,WSW,9,1028.4
