"Daily Weather Observations for Hobart, Tasmania for June 2017"
"Prepared at 16:14 GMT on Wednesday  2 August 2017   IDCJDW7021.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,6.5,14.6,0,1.6,5.1,N,41,10:48,7.8,75,6,SW,9,1032.3,13.8,54,6,ENE,17,1030.1
,2017-06-2,7.3,15.6,0,0.8,5.6,NW,48,13:43,10.9,78,3,NNE,6,1032.3,14.5,54,2,NNW,26,1030.4
,2017-06-3,8.2,17.1,0,1.6,8.0,ESE,22,15:40,11.4,73,6,WSW,4,1031.1,15.5,57,1,ESE,7,1028.7
,2017-06-4,9.1,13.3,0,2.0,2.8,NNW,31,11:29,10.8,73,6,NNW,15,1025.1,13.0,65,7,W,6,1021.4
,2017-06-5,8.6,15.7,0,1.4,3.6,NNW,33,12:29,10.0,82,7,WNW,9,1018.3,13.3,56,7,NW,19,1014.0
,2017-06-6,7.3,10.8,0,1.4,3.3,SSW,46,04:03,7.9,64,3,SSW,13,1025.2,9.9,52,6,SW,11,1027.2
,2017-06-7,3.1,12.3,0,1.4,8.2,NW,26,22:04,5.8,80,1,NW,15,1030.6,11.9,52,1,NNW,13,1027.3
,2017-06-8,3.1,13.1,0,1.0,2.9,NNW,31,11:50,6.8,69,7,NNW,22,1023.9,12.8,58,7,WNW,13,1022.8
,2017-06-9,5.5,15.9,0,0.2,7.6,NNW,28,10:14,9.1,73,2,WSW,4,1029.2,14.6,59,3, ,Calm,1029.5
,2017-06-10,5.0,15.0,0,1.0,8.2,NNW,59,23:36,7.5,82,1,NW,15,1030.6,14.9,55,1,NNW,15,1026.2
,2017-06-11,7.5,15.9,0,2.2,2.1,NNW,57,00:19,11.5,65,7,NNW,17,1018.6,15.4,52,7,NNW,20,1014.3
,2017-06-12,10.2,15.5,0,1.8,7.0,NW,57,13:06,11.2,61,4,NW,22,1018.5,14.2,55,6,NW,30,1018.6
,2017-06-13,7.9,16.1,0,1.8,6.3,NW,31,00:11,9.4,76,6,WSW,7,1027.1,14.0,59,5,NNW,11,1025.7
,2017-06-14,5.6,14.5,0,1.6,1.4,NW,52,11:43,7.0,79,6,WNW,13,1023.9,14.4,56,7,NW,28,1020.7
,2017-06-15,6.9,,0,0.8,2.2,,,,12.0,71,7,NW,13,1022.0,15.8,54,3,NNW,13,1019.9
,2017-06-16,8.2,16.2,0,1.0,8.0,NW,35,12:10,9.6,78,1, ,Calm,1022.3,15.9,48,1,NW,17,1020.9
,2017-06-17,6.4,16.8,0,1.2,8.1,NNW,52,22:23,8.7,77,1,NW,9,1021.6,16.2,48,2,NNW,22,1017.8
,2017-06-18,8.6,13.6,0.2,2.6,5.1,N,39,00:35,10.9,47,2,WNW,13,1024.9,12.6,43,7,NW,17,1025.8
,2017-06-19,5.2,16.2,0,1.2,4.1,NNW,54,07:16,9.9,60,7,NNW,33,1023.6,15.9,43,7,NW,24,1021.9
,2017-06-20,9.1,17.5,0,2.4,4.0,WNW,89,18:03,13.0,57,7,NNW,17,1018.2,16.6,41,7,NW,41,1011.9
,2017-06-21,7.4,12.1,2.6,3.4,4.6,W,59,00:25,8.0,61,6,SSW,11,1024.8,10.9,42,3,NW,11,1026.4
,2017-06-22,0.6,10.2,0,0.6,7.2,NW,44,14:14,2.6,84,2,NW,28,1025.9,9.5,48,7,NW,22,1020.7
,2017-06-23,2.6,15.1,0,1.2,5.4,NW,72,13:48,9.3,67,4,N,17,1006.2,11.3,64,7,NW,31,999.4
,2017-06-24,3.2,10.9,2.2,2.8,5.4,NW,46,04:10,6.2,63,4,NW,19,1010.2,9.5,52,7,NNW,20,1009.5
,2017-06-25,5.7,12.6,0,2.2,3.5,NW,50,10:56,6.4,75,7,NNW,17,1003.8,9.9,67,3,NNW,28,1002.2
,2017-06-26,4.4,12.4,0.2,1.2,6.6,SW,31,02:20,5.8,77,2,NNW,2,1018.0,10.9,60,5,S,7,1019.9
,2017-06-27,2.2,11.2,0,1.2,7.7,NW,31,15:44,3.9,83,1,WNW,13,1023.9,11.0,54,1,NW,20,1021.1
,2017-06-28,3.4,12.6,0,1.2,4.4,NW,33,06:09,5.2,78,6,NNW,15,1021.2,12.2,51,7,N,13,1018.5
,2017-06-29,5.0,11.4,0,1.0,2.3,SW,67,15:25,7.1,76,7,NNW,22,1012.6,7.9,65,7,SW,31,1011.4
,2017-06-30,4.0,10.1,1.4,1.0,6.0,SW,54,00:49,6.4,53,2,WSW,17,1026.2,8.9,51,4,E,9,1027.5
