"Daily Weather Observations for Hobart, Tasmania for July 2017"
"Prepared at 13:09 GMT on Monday  7 August 2017   IDCJDW7021.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,1.2,10.0,0,0.8,8.4,NW,35,08:36,2.0,83,1,NW,22,1029.0,9.8,48,6,NW,9,1027.0
,2017-07-2,1.1,11.6,0,1.0,7.7,NW,35,05:38,2.4,82,6,NNW,19,1024.3,11.2,50,6,NNW,15,1020.2
,2017-07-3,0.7,9.7,0,1.0,7.3,NW,30,00:53,1.2,90,1,NW,17,1017.4,9.5,55,3,NNE,2,1012.2
,2017-07-4,1.2,10.6,4.6,0.6,3.1,NNW,26,09:48,4.6,87,6,NNW,11,1004.8,10.6,70,7, ,Calm,1001.9
,2017-07-5,4.6,12.6,4.8,1.2,3.1,NNW,50,18:40,7.8,77,6,ENE,9,1003.6,12.3,56,7,NW,24,1002.1
,2017-07-6,7.7,15.2,0,1.8,6.6,NW,37,00:33,11.0,63,2,WNW,13,1008.1,12.2,58,7,WNW,17,1008.2
,2017-07-7,2.7,10.7,0,1.4,7.1,NW,24,09:15,5.1,81,3,NW,11,1008.4,9.4,64,5,NNW,9,1006.4
,2017-07-8,1.2,11.6,0,0.6,6.8,NNW,35,09:58,2.1,94,1,NNW,20,1009.3,10.4,58,6,N,20,1007.5
,2017-07-9,2.1,12.2,0,0.8,7.3,NW,37,16:04,3.5,85,4,NW,13,1011.4,11.8,48,1,NW,15,1009.3
,2017-07-10,3.3,11.1,0,1.6,4.1,NW,43,13:51,7.9,77,7,WSW,4,1016.0,11.1,50,7,NNW,15,1017.2
,2017-07-11,2.9,11.7,1.0,1.0,7.3,NW,24,14:50,4.7,80,4,WNW,7,1030.8,10.4,55,4,NW,17,1031.3
,2017-07-12,1.1,10.5,0,0.8,8.2,NW,33,05:48,2.3,83,7,NNW,20,1034.5,10.3,49,7,NNW,19,1031.0
,2017-07-13,1.4,11.6,0,0.8,4.7,NNW,43,15:00,3.5,80,7,NNW,19,1021.6,11.3,55,7,NNW,30,1014.2
,2017-07-14,3.5,12.1,0.8,1.4,,NNW,41,22:21,8.7,79,7,NNW,13,1005.7,10.4,61,7,NNW,20,1003.6
,2017-07-15,4.3,11.7,0,,,NW,46,00:14,6.4,66,,NW,19,1013.8,10.2,47,8,NNW,17,1015.0
,2017-07-16,2.5,11.5,0,3.4,0.5,NW,54,22:23,3.7,78,7,NW,15,1015.7,11.4,46,7,NW,31,1012.7
,2017-07-17,3.6,12.0,0,0.8,0.0,NNW,41,00:51,10.1,59,8,NNW,24,1010.8,10.4,75,8,N,15,1007.9
,2017-07-18,3.9,13.3,0.6,0.6,2.4,N,26,14:26,5.3,91,7,NW,6,1004.4,12.3,68,7,NW,13,1000.7
,2017-07-19,5.3,11.7,13.0,2.0,6.5,SSW,57,10:48,8.8,88,7,S,28,1006.9,10.6,43,2,SW,19,1007.3
,2017-07-20,4.0,10.0,0.2,3.4,4.3,SW,56,10:46,6.7,64,3,SW,20,1009.7,9.8,76,3,SSW,24,1015.1
,2017-07-21,3.6,12.5,1.8,0.4,8.4,NW,31,21:57,5.3,84,1,NNW,17,1022.5,12.3,49,1,NNW,9,1019.7
,2017-07-22,3.7,14.8,0,1.2,3.9,NW,59,05:35,5.6,67,7,NNW,31,1011.6,14.1,53,7,NW,19,1005.6
,2017-07-23,5.6,12.3,1.4,1.8,1.6,NW,74,01:57,9.6,73,6,E,9,999.3,8.1,86,7,S,26,1002.1
,2017-07-24,4.2,12.3,2.2,1.0,9.0,NW,59,11:40,8.3,52,1,NNW,24,1011.0,11.8,39,1,NW,20,1010.4
,2017-07-25,5.7,15.8,1.4,2.4,6.3,NNW,46,13:40,6.6,91,7,NE,9,1006.8,15.4,46,5,NW,20,1002.7
,2017-07-26,6.6,10.9,5.0,1.0,5.1,SW,56,11:46,7.3,73,7,SSW,19,1009.4,8.8,64,7,SW,22,1013.9
,2017-07-27,2.5,11.6,0,1.8,4.7,,,,4.4,76,4,NNW,11,1018.7,11.0,55,7,NNE,13,1011.6
,2017-07-28,4.4,14.0,0,1.8,8.0,SSW,44,12:51,10.3,65,2,NW,24,1009.1,12.6,48,2,SSW,13,1012.3
,2017-07-29,4.3,15.3,0.2,1.2,3.2,NNW,69,13:20,6.3,63,7,NNW,26,1004.5,14.9,49,7,NNW,37,996.9
,2017-07-30,6.3,13.8,0,1.8,5.8,NW,54,13:15,10.6,59,7,NNW,22,999.7,11.8,55,7,NW,20,1002.5
,2017-07-31,3.9,13.5,0.2,2.4,8.5,WSW,28,00:14,7.0,74,2,NNW,15,1019.4,10.9,55,2,SE,9,1019.4
